# Star names from the IAU Catalog of Star Names (IAU-CSN).
# Source:   https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt
# Authority: IAU Division C Working Group on Star Names (WGSN)
#           https://www.iau.org/science/scientific_bodies/working_groups/280/
# License:  Creative Commons Attribution (CC BY) — IAU-produced products are
#           free to use in perpetuity, world-wide, provided the source is cited.
# Modified: reduced to four columns (Name/ASCII, Designation, Con, Date) and
#           reformatted as CSV. No names, designations or dates were altered.
# Catalogue edition: 2022-04-04
# Extracted: 2026-08-24
name,designation,constellation,iau_approval_date
Phecda,HR 4554,UMa,2016-07-20
Pherkad,HR 5735,UMi,2016-08-21
Phoenicia,HD 192263,Aql,2019-12-17
Piautos,HR 3268,Cnc,2018-06-01
Pincoya,HD 164604,Sgr,2019-12-17
Pipirima,HR 6252,Sco,2017-09-05
Pipoltr,TrES-3,Her,2019-12-17
Pleione,HR 1180,Tau,2016-06-30
Poerava,HD 221287,Tuc,2019-12-17
Polaris,HR 424,UMi,2016-06-30
Polaris Australis,HR 7228,Oct,2017-09-05
Polis,HR 6812,Sgr,2017-09-05
Pollux,HR 2990,Gem,2015-12-15
Porrima,HR 4825,Vir,2016-07-20
Praecipua,HR 4247,LMi,2017-06-30
Prima Hyadum,HR 1346,Tau,2017-09-05
Procyon,HR 2943,CMi,2016-06-30
Propus,HR 2216,Gem,2016-07-20
Proxima Centauri,GJ 551,Cen,2016-08-21
Ran,HR 1084,Eri,2015-12-15
Rana,HR 1136,Eri,2022-04-04
Rapeto,HD 153950,Sco,2019-12-17
Rasalas,HR 3905,Leo,2016-09-12
Rasalgethi,HR 6406,Her,2016-06-30
Rasalhague,HR 6556,Oph,2016-07-20
Rastaban,HR 6536,Dra,2016-08-21
Regulus,HR 3982,Leo,2016-06-30
Revati,HR 361,Psc,2017-06-30
Rigel,HR 1713,Ori,2016-06-30
Rigil Kentaurus,HR 5459,Cen,2016-11-06
Rosaliadecastro,HD 149143,Oph,2019-12-17
Rotanev,HR 7882,Del,2016-09-12
Ruchbah,HR 403,Cas,2016-08-21
Rukbat,HR 7348,Sgr,2016-07-20
Sabik,HR 6378,Oph,2016-08-21
Saclateni,HR 1612,Aur,2017-06-30
Sadachbia,HR 8518,Aqr,2016-08-21
Sadalbari,HR 8684,Peg,2016-08-21
Sadalmelik,HR 8414,Aqr,2016-08-21
Sadalsuud,HR 8232,Aqr,2016-08-21
Sadr,HR 7796,Cyg,2016-08-21
Sagarmatha,HD 100777,Leo,2019-12-17
Saiph,HR 2004,Ori,2016-07-20
Salm,HR 8880,Peg,2017-09-05
Samaya,HD 205739,PsA,2019-12-17
Sansuna,HAT-P-34,Sge,2019-12-17
Sargas,HR 6553,Sco,2016-08-21
Sarin,HR 6410,Her,2016-09-12
Sceptrum,HR 1481,Eri,2017-06-30
Scheat,HR 8775,Peg,2016-06-30
Schedar,HR 168,Cas,2016-08-21
Secunda Hyadum,HR 1373,Tau,2017-09-05
Segin,HR 0542,Cas,2017-09-05
Seginus,HR 5435,Boo,2016-08-21
Sham,HR 7479,Sge,2016-09-12
Shama,HD 99109,Leo,2019-12-17
Sharjah,HIP 79431,Sco,2019-12-17
Shaula,HR 6527,Sco,2016-07-20
Sheliak,HR 7106,Lyr,2016-08-21
Sheratan,HR 553,Ari,2016-07-20
Sika,HD 181720,Sgr,2019-12-17
Sirius,HR 2491,CMa,2016-06-30
Situla,HR 8610,Aqr,2016-09-12
Skat,HR 8709,Aqr,2016-08-21
Solaris,BD+14 4559,Peg,2019-12-17
Spica,HR 5056,Vir,2016-06-30
Sterrennacht,HAT-P-6,And,2019-12-17
Stribor,HD 75898,Lyn,2019-12-17
Sualocin,HR 7906,Del,2016-09-12
Subra,HR 3852,Leo,2016-09-12
Suhail,HR 3634,Vel,2016-08-21
Sulafat,HR 7178,Lyr,2016-08-21
Syrma,HR 5338,Vir,2016-09-12
Tabit,HR 1543,Ori,2017-09-05
Taika,HAT-P-40,Lac,2019-12-17
Taiyangshou,HR 4518,UMa,2017-06-30
Taiyi,HR 4916,Dra,2017-06-30
Talitha,HR 3569,UMa,2016-07-20
Tangra,WASP-21,Peg,2019-12-17
Tania Australis,HR 4069,UMa,2016-07-20
Tania Borealis,HR 4033,UMa,2016-07-20
Tapecue,HD 63765,Car,2019-12-17
Tarazed,HR 7525,Aql,2016-08-21
Tarf,HR 3249,Cnc,2018-06-01
Taygeta,HR 1145,Tau,2016-08-21
Tegmine,HR 3208,Cnc,2016-09-12
Tejat,HR 2286,Gem,2017-02-01
Terebellum,HR 7597,Sgr,2017-09-05
Tevel,HAT-P-9,Aur,2019-12-17
Theemin,HR 1464,Eri,2017-02-01
Thuban,HR 5291,Dra,2016-06-30
Tiaki,HR 8636,Gru,2017-09-05
Tianguan,HR 1910,Tau,2017-06-30
Tianyi,HR 4863,Dra,2017-06-30
Timir,HD 148427,Oph,2019-12-17
Tislit,WASP-161,Pup,2019-12-17
Titawin,HR 458,And,2015-12-15
Tojil,WASP-22,Eri,2019-12-17
Toliman,HR 5460,Cen,2018-08-10
Tonatiuh,HR 4609,Cam,2015-12-15
Torcular,HR 510,Psc,2017-09-05
Tuiren,HAT-P-36,CVn,2019-12-17
Tupa,HD 108147,Cru,2019-12-17
Tupi,HD 23079,Ret,2019-12-17
Tureis,HR 3185,Pup,2016-09-12
Ukdah,HR 3845,Hya,2018-06-01
Uklun,HD 102117,Cen,2019-12-17
Unukalhai,HR 5854,Ser,2016-08-21
Uruk,HD 231701,Sge,2019-12-17
Vega,HR 7001,Lyr,2016-06-30
Veritate,HR 8930,And,2015-12-15
Vindemiatrix,HR 4932,Vir,2016-07-20
Wasat,HR 2777,Gem,2016-08-21
Wazn,HR 2040,Col,2016-07-20
Wezen,HR 2693,CMa,2016-07-20
Wurren,HR 338,Phe,2017-11-17
Xamidimura,HR 6247,Sco,2017-09-05
Xihe,HD 173416,Lyr,2019-12-17
Xuange,HR 5351,Boo,2017-06-30
Yed Posterior,HR 6075,Oph,2016-10-05
Yed Prior,HR 6056,Oph,2016-10-05
Yildun,HR 6789,UMi,2016-08-21
Zaniah,HR 4689,Vir,2016-09-12
Zaurak,HR 1231,Eri,2016-07-20
Zavijava,HR 4540,Vir,2016-08-21
Zhang,HR 3903,Hya,2017-06-30
Zibal,HR 984,Eri,2016-09-12
Zosma,HR 4357,Leo,2016-07-20
Zubenelgenubi,HR 5531,Lib,2016-08-21
Zubenelhakrabi,HR 5787,Lib,2017-09-05
Zubeneschamali,HR 5685,Lib,2016-08-21
